YEAR,MONTH,AIRLINE_ID,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,CARRIER,CARRIER_NAME,CARRIER_GROUP,CARRIER_GROUP_NEW,EMPFULL,EMPPART,EMPTOTAL,EMPFTE
2021,6,20401,3M,Silver Airways,3M,Silver Airways,1,1,469,84,553,511
2021,6,20408,5V,Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo,5V,Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo,1,1,329,62,391,360
2021,6,19917,5X,United Parcel Service,5X,United Parcel Service,3,3,6455,136,6591,6523
2021,6,20007,5Y,Atlas Air Inc.,5Y,Atlas Air Inc.,3,3,3559,20,3579,3569
2021,6,19874,8C,Air Transport International,8C,Air Transport International,2,2,1057,0,1057,1057
2021,6,20363,9E,Endeavor Air Inc.,9E,Endeavor Air Inc.,2,2,4717,72,4789,4753
2021,6,20190,9S,Southern Air Inc.,9S,Southern Air Inc.,2,2,568,15,583,576
2021,6,19805,AA,American Airlines Inc.,AA,American Airlines Inc.,3,3,87718,11022,98740,93229
2021,6,20453,ABX,ABX Air Inc,ABX,ABX Air Inc,2,2,474,6,480,477
2021,6,19930,AS,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,3,3,14992,1778,16770,15881
2021,6,20409,B6,JetBlue Airways,B6,JetBlue Airways,3,3,15088,3905,18993,17041
2021,6,20445,C5,"Commutair Aka Champlain Enterprises, Inc.",C5,"Commutair Aka Champlain Enterprises, Inc.",2,2,1449,19,1468,1459
2021,6,19790,DL,Delta Air Lines Inc.,DL,Delta Air Lines Inc.,3,3,61045,7288,68333,64689
2021,6,20436,F9,Frontier Airlines Inc.,F9,Frontier Airlines Inc.,3,3,5129,49,5178,5154
2021,6,20107,FX,Federal Express Corporation,FX,Federal Express Corporation,3,3,205921,62426,268347,237134
2021,6,20368,G4,Allegiant Air,G4,Allegiant Air,3,3,3872,477,4349,4111
2021,6,20500,G7,GoJet Airlines LLC d/b/a United Express,G7,GoJet Airlines LLC d/b/a United Express,2,2,1099,0,1099,1099
2021,6,20166,GFQ,Gulf And Caribbean Cargo,GFQ,Gulf And Caribbean Cargo,1,1,143,2,145,144
2021,6,19690,HA,Hawaiian Airlines Inc.,HA,Hawaiian Airlines Inc.,3,3,5104,929,6033,5569
2021,6,20370,KAQ,Kalitta Air LLC,KAQ,Kalitta Air LLC,3,3,2258,10,2268,2263
2021,6,21629,KD,Western Global,KD,Western Global,2,2,421,4,425,423
2021,6,21634,KH,Aloha Air Cargo,KH,Aloha Air Cargo,2,2,309,57,366,338
2021,6,20169,L2,Lynden Air Cargo Airlines,L2,Lynden Air Cargo Airlines,2,2,203,2,205,204
2021,6,20151,M6,Amerijet International,M6,Amerijet International,2,2,840,0,840,840
2021,6,20398,MQ,Envoy Air,MQ,Envoy Air,3,3,11200,4247,15447,13324
2021,6,20405,N8,National Air Cargo Group Inc d/ba National Airlines,N8,National Air Cargo Group Inc d/ba National Airlines,2,2,310,0,310,310
2021,6,20108,NC,Northern Air Cargo Inc.,NC,Northern Air Cargo Inc.,2,2,498,10,508,503
2021,6,20416,NK,Spirit Air Lines,NK,Spirit Air Lines,3,3,8949,311,9260,9105
2021,6,20397,OH,PSA Airlines Inc.,OH,PSA Airlines Inc.,2,2,4540,0,4540,4540
2021,6,20304,OO,SkyWest Airlines Inc.,OO,SkyWest Airlines Inc.,3,3,12968,1636,14604,13786
2021,6,20177,PFQ,Asia Pacific,PFQ,Asia Pacific,1,1,88,1,89,89
2021,6,21402,PM,"Prescott Support Company, Inc.",PM,"Prescott Support Company, Inc.",1,4,15,21,36,26
2021,6,20100,PO,Polar Air Cargo Airways,PO,Polar Air Cargo Airways,3,3,250,0,250,250
2021,6,20427,PT,Piedmont Airlines,PT,Piedmont Airlines,2,2,5281,3867,9148,7215
2021,6,19687,QX,Horizon Air,QX,Horizon Air,2,2,2965,630,3595,3280
2021,6,19998,SI,Sierra Pacific Airlines,SI,Sierra Pacific Airlines,1,4,15,29,44,30
2021,6,20422,SY,Sun Country Airlines d/b/a MN Airlines,SY,Sun Country Airlines d/b/a MN Airlines,2,2,1501,314,1815,1658
2021,6,20447,U7,USA Jet Airlines Inc.,U7,USA Jet Airlines Inc.,2,2,424,0,424,424
2021,6,19977,UA,United Air Lines Inc.,UA,United Air Lines Inc.,3,3,60215,8881,69096,64656
